npcId,situation,day,role,nodeKey,label_en,label_ko,expression,text_en,text_ko,goto,outcome
6,Reception,0,Greeting,,,,Neutral,"Evening. You got a spot where I can see the rig from the window?","안녕하시오. 창에서 트럭이 보이는 방 하나 있소?",,
6,Reception,0,Greeting,,,,Neutral,"One night. I roll out before the sun's up.","하룻밤이면 되오. 해 뜨기 전에 출발할 거라서.",,
6,Reception,0,Greeting,,,,Neutral,"Been on the road eighteen hours. My eyes are done.","열여덟 시간을 달렸소. 눈이 안 떠지는구려.",,
6,Reception,0,Question,name,Ask their name,이름을 묻는다,Neutral,"It's on the log sheet. Nobody reads those anyway.","운행 일지에 적혀 있소. 뭐 아무도 안 읽지만.",,
6,Reception,0,Question,haul,Ask what he's hauling,무엇을 싣고 가는지 묻는다,Neutral,"Dry freight. Boxes. I don't open the trailer and I don't ask.","마른 화물. 상자요. 나는 짐칸을 안 열고, 뭔지도 안 묻소.",,
6,Reception,0,Question,where,Ask where he's headed,어디로 가는지 묻는다,Neutral,"North. The delivery address changed twice since I left. Still says a town I've never heard of.","북쪽이오. 출발한 뒤로 배송지가 두 번 바뀌었소. 지금은 들어본 적도 없는 동네로 돼 있고.",,
6,Reception,0,Question,stay,Confirm how long he's staying,며칠 묵을지 확인한다,Neutral,"One night. I told you. Gone by first light.","하룻밤. 말했잖소. 동트면 떠나오.",,
6,Reception,0,Question,stay,Take the night up front,하룻밤치를 선불로 받는다,,,,stay_pay,
6,Reception,0,Question,stay,Settle when he leaves,나갈 때 정산하기로 한다,,,,stay_trust,
6,Reception,0,Node,stay_pay,,,Neutral,"Up front. Fine. Company card. It clears.","선불이라. 좋소. 법인 카드요. 승인될 거요.",,
6,Reception,0,Node,stay_trust,,,Neutral,"When I leave, then. Less to fumble for in the dark.","그럼 나갈 때. 어두울 때 지갑 뒤질 일 없고 좋소.",,
6,Reception,0,Question,clean,Ask about housekeeping,하우스키핑을 어떻게 할지 묻는다,Neutral,"Come in whenever. I won't be in it much.","아무 때나 들어오시오. 방에 오래 있을 것도 아니고.",,
6,Reception,0,Question,clean,Tidy the room in the morning,아침에 방을 정리한다,,,,clean_yes,
