npcId,situation,day,role,nodeKey,label_en,label_ko,expression,text_en,text_ko,goto,outcome
1,Reception,0,Greeting,,,,Neutral,"Evening. Got a room for one night?","안녕하세요. 하룻밤 묵을 방 하나 있습니까?",,
1,Reception,0,Greeting,,,,Neutral,"Just the one night. I'm back on the road at first light.","딱 하룻밤이면 됩니다. 날 밝으면 바로 떠날 거라서요.",,
1,Reception,0,Greeting,,,,Neutral,"Been walking since dawn. I'm done in.","새벽부터 계속 걸었더니 완전히 녹초가 됐네요.",,
1,Reception,0,Question,name,Ask their name,이름을 묻는다,Neutral,"Just call me a traveler. Names don't buy much out here.","그냥 나그네라고 하죠. 이런 데서 이름이 무슨 소용이겠어요.",,
1,Reception,0,Question,where,Ask where they're headed,어디로 가는지 묻는다,Neutral,"Somewhere the road stops. You know any place like that?","길이 끝나는 곳 어디쯤이요. 그런 데를 아십니까?",,
1,Reception,0,Question,where,I wish I did,저도 알면 좋겠네요,,,,where_a,
1,Reception,0,Question,where,Just take the room,그냥 방 쓰세요,,,,where_b,
1,Reception,0,Node,where_a,,,Neutral,"Yeah. Figured as much.","그렇겠죠. 그럴 줄 알았습니다.",,
1,Reception,0,Node,where_b,,,Neutral,"Fair enough. Lead the way.","알겠습니다. 안내해 주세요.",,
1,Reception,0,Question,stay,Confirm how long they're staying,며칠 묵을지 확인한다,Neutral,"One night. Same as I said. I won't be a bother past dawn.","하룻밤이요. 아까 말씀드린 그대로입니다. 날 밝기 전에 조용히 나갈 거예요.",,
1,Reception,0,Question,stay,Take one night up front,하룻밤치를 선불로 받는다,,,,stay_pay,
1,Reception,0,Question,stay,Settle up when they leave,나갈 때 정산하기로 한다,,,,stay_trust,
1,Reception,0,Node,stay_pay,,,Neutral,"Up front. Alright. I'll have it ready for you.","선불로요. 알겠습니다. 준비해 두죠.",,
1,Reception,0,Node,stay_trust,,,Neutral,"Appreciated. You'll get it at the door.","고맙습니다. 나갈 때 드리죠.",,
1,Reception,0,Question,clean,Ask about housekeeping,하우스키핑을 어떻게 할지 묻는다,Neutral,"Housekeeping? Whatever's easiest for you.","청소요? 편하실 대로 하세요.",,
1,Reception,0,Question,clean,Tidy the room each morning,매일 아침 방을 정리한다,,,,clean_yes,
1,Reception,0,Question,clean,Only go in when he asks,부를 때만 들어간다,,,,clean_no,
1,Reception,0,Node,clean_yes,,,Neutral,"Suits me. One less thing to think about.","그게 좋죠. 신경 쓸 일 하나 줄고요.",,
1,Reception,0,Node,clean_no,,,Neutral,"Fine. I'll knock if I need anything.","알겠습니다. 필요하면 부르죠.",,
1,Reception,0,Question,reject,Turn them away,돌려보낸다,Neutral,"No room? After all that walking?","방이 없다고요? 이렇게 걸어왔는데요?",reject_insist,
1,Reception,0,Node,reject_insist,,,Neutral,"I won't be trouble. Gone by first light.","폐 끼치지 않을게요. 날 밝으면 바로 떠나겠습니다.",,
1,Reception,0,Node,reject_insist,Hold firm,단호하게 거절한다,,,,reject_final,
1,Reception,0,Node,reject_insist,Reconsider,다시 생각해 본다,,,,,
1,Reception,0,Node,reject_final,,,Neutral,"...Fine. I've slept in worse than a ditch.","...알겠습니다. 도랑에서도 자봤는걸요.",,Rejected
1,Reception,0,Node,checkin,,,Neutral,"Thank you. You won't hear a sound from me.","고맙습니다. 소리 하나 안 내겠습니다.",,
1,Reception,0,Node,checkin_paid,,,Neutral,"Here - the night, paid in full.","여기 - 하룻밤치, 선불금입니다. 전액이요.",,
1,Reception,0,Node,checkin_paid,,,Neutral,"Thank you. You won't hear a sound from me.","고맙습니다. 소리 하나 안 내겠습니다.",,
1,Dawn,0,Greeting,,,,Neutral,"What do you want at this hour?","이 시간에 무슨 일이십니까?",,
1,Dawn,0,Question,noise,Ask about the noise last night,간밤의 소음에 대해 묻는다,Neutral,"Noise? I was asleep the whole time.","소음이요? 저는 밤새 자고 있었는데요.",,
1,Dawn,0,Question,heard,Ask if he heard anything,뭔가 들은 게 없는지 묻는다,Neutral,"Wind on the window. A door down the hall, once. Then nothing.","창문에 바람 소리. 복도 저쪽에서 문소리 한 번. 그러곤 조용했어요.",,
1,Dawn,0,Question,leaving,Ask when he's leaving,언제 떠날 건지 묻는다,Neutral,"The moment you let me. I've a long way to go.","보내주시는 대로 바로요. 갈 길이 머니까요.",,
2,Reception,0,Greeting,,,,Neutral,"Ah - yes. Hello. A room. Please. Just the one.","아, 네. 안녕하세요. 방... 방 하나 부탁드립니다. 하나면 돼요.",,
